Topic,Top Words
0,"service, information, use, term, provide, right, include, content, datum, agreement"
1,"report, click, help, message, open, article, want, link, block, ask"
2,"safety, user, information, community, report, safe, policy, server, support, friend"
3,"content, community, guideline, pin, policy, appeal, request, deactivate, decision, remove"
4,"game, player, account, play, voice, use, child, information, xbox, parental"
5,"suicide, disorder, eat, selfharm, help, friend, support, health, selfinjury, content"
6,"post, report, account, medium, violent, violation, content, center, policy, rule"
7,"sexual, consent, explicit, sexually, content, nonconsensual, policy, imagery, intimate, share"
8,"hate, protect, speech, group, attribute, policy, gender, identitybase, member, characteristic"
9,"chat, message, community, group, messenger, endtoend, encryption, contact, send, learn"
10,"bully, bullying, student, help, child, online, resource, teen, comment, centre"
11,"policy, community, content, violate, violation, strike, standard, centre, action, remove"
12,"teen, parent, comment, video, young, guide, people, manage, account, setting"
13,"harassment, individual, bullying, target, policy, content, private, abuse, public, sexual"
14,"spam, message, report, server, conversation, link, content, account, bot, click"
15,"block, messenger, click, message, conversation, profile, friend, send, chat, open"
16,"account, ban, violation, restriction, error, log, try, live, content, appeal"
17,"animal, violent, violence, harm, sexual, graphic, content, promote, physical, allow"
18,"misinformation, false, content, health, vaccine, harm, public, mislead, election, misleading"
19,"violence, violent, organisation, designate, extremist, terrorist, entity, hate, content, policy"
20,"request, law, enforcement, user, record, legal, official, information, email, disclosure"
21,"filter, comment, word, message, direct, harassment, new, option, hide, people"
